topology_type,n_agv,tasks_completed,throughput_tasks_per_hour,avg_task_completion_time_s,avg_wait_time_s,total_wait_time_s,reservation_failure_rate,reroute_count,node_occupancy_rate,edge_occupancy_rate,agv_utilization,total_travel_distance_m,max_queue_length,headon_total,retry_total,avg_retry_per_headon,top_bottleneck_node,top_bottleneck_score,top_headon_edge,top_headon_edge_count,sim_time_s,wall_time_s,error
A,8,12,72.0,315.38,0.0,0.0,0.0,0,0.0,0.0627,0.8614,4740.98,0,0,6,0.0,,0.0,,0,600.02,6.17,
A,12,20,120.0,268.46,0.0,0.0,0.0,0,0.0,0.0941,0.8934,7276.26,3,0,18,0.0,,0.0,,0,600.02,8.95,
A,16,29,173.99,239.86,0.03,0.52,0.0154,1,0.0,0.1163,0.9615,9939.87,2,5,28,5.6,,0.0,ST_C_11__WP_C_160,5,600.02,12.74,
A,20,22,132.0,284.15,0.0,0.0,0.0,0,0.0,0.1435,0.9028,13425.01,2,0,12,0.0,,0.0,,0,600.02,18.26,
B,8,23,138.0,178.68,0.0,0.0,0.0,0,0.0,0.0517,0.9824,4186.82,1,0,33,0.0,,0.0,,0,600.02,5.79,
B,12,23,138.0,271.39,0.46,5.54,0.2761,5,0.0,0.0636,0.9699,6925.56,2,90,27,0.3,,0.0,WP_N_040__WP_N_000,15,600.02,15.98,
B,16,52,311.99,152.46,0.52,8.26,0.229,4,0.0,0.0623,0.9603,7786.39,1,90,62,0.69,,0.0,WP_N_280__WP_N_240,15,600.02,13.83,
B,20,42,251.99,157.55,1.24,24.9,0.5075,22,0.0,0.0838,0.9453,12135.67,2,439,60,0.14,,0.0,WP_N_480__WP_N_440,90,600.02,19.91,
C,8,17,102.0,128.9,0.0,0.0,0.0,0,0.0,0.0464,0.9824,4921.33,1,0,29,0.0,,0.0,,0,600.02,5.82,
C,12,19,114.0,137.98,0.04,0.52,0.0172,1,0.0,0.0706,0.9719,8313.17,2,5,30,6.0,,0.0,ST_C_10__WP_CL1_000,5,600.02,8.77,
C,16,17,102.0,104.19,0.0,0.0,0.0,0,0.0,0.096,0.9623,11738.4,1,0,28,0.0,,0.0,,0,600.02,12.38,
C,20,18,108.0,170.23,0.0,0.0,0.0,0,0.0,0.1329,0.9523,14938.87,1,0,29,0.0,,0.0,,0,600.02,16.81,
D,8,19,114.0,110.63,0.0,0.0,0.0,0,0.0,0.0496,0.9824,5127.02,1,0,33,0.0,,0.0,,0,600.02,5.8,
D,12,14,84.0,149.88,0.0,0.0,0.0,0,0.0,0.0746,0.9723,8727.32,1,0,23,0.0,,0.0,,0,600.02,8.75,
D,16,19,114.0,164.26,0.0,0.0,0.0,0,0.0,0.0987,0.9623,11990.45,1,0,30,0.0,,0.0,,0,600.02,12.37,
D,20,28,167.99,177.78,0.07,1.42,0.0337,2,0.0,0.0975,0.9519,13412.29,1,16,43,2.69,,0.0,WP_NL1_240__ST_N_04,8,600.02,16.71,
E,8,28,167.99,146.45,0.0,0.0,0.0491,1,0.0,0.0505,0.9821,3766.86,0,8,39,4.88,,0.0,WP_S_160__ST_S_17,8,600.02,5.81,
E,12,32,191.99,169.28,0.04,0.52,0.2966,12,0.0,0.0561,0.9698,6612.54,1,105,49,0.47,,0.0,WP_N_360__WP_N_400,25,600.02,8.81,
E,16,43,257.99,170.41,0.09,1.42,0.1222,5,0.0,0.0691,0.9612,8831.22,1,44,53,1.2,,0.0,WP_N_400__WP_N_440,8,600.02,19.51,
E,20,48,287.99,186.7,0.18,3.66,0.607,83,0.0,0.0782,0.942,10298.55,4,678,115,0.17,,0.0,WP_N_200__WP_N_160,264,600.02,38.71,
