topology_type,n_agv,tasks_completed,throughput_tasks_per_hour,avg_task_completion_time_s,avg_wait_time_s,total_wait_time_s,reservation_failure_rate,reroute_count,node_occupancy_rate,edge_occupancy_rate,agv_utilization,total_travel_distance_m,max_queue_length,headon_total,retry_total,avg_retry_per_headon,top_bottleneck_node,top_bottleneck_score,top_headon_edge,top_headon_edge_count,sim_time_s,wall_time_s,error
C,8,28,167.99,143.76,0.0,0.0,0.0311,1,0.0,0.041,0.9706,3867.9,1,5,30,6.0,,0.0,ST_S_17__WP_SL2_160,5,600.02,4.3,
C,12,30,179.99,172.14,0.0,0.0,0.0,0,0.0,0.0557,0.954,6664.49,1,0,27,0.0,,0.0,,0,600.02,7.07,
C,16,47,281.99,162.97,0.01,0.1,0.0197,1,0.0,0.068,0.9369,7582.06,0,6,36,6.0,,0.0,ST_S_17__WP_SL2_160,5,600.02,10.0,
C,20,56,335.99,166.62,0.0,0.0,0.0,0,0.0,0.0598,0.9206,9420.08,1,0,41,0.0,,0.0,,0,600.02,13.93,
D,8,24,144.0,179.6,0.0,0.0,0.0,0,0.0,0.0416,0.9707,3853.14,1,0,25,0.0,,0.0,,0,600.02,4.63,
D,12,38,227.99,161.76,0.09,1.12,0.056,1,0.0,0.0517,0.9536,5999.4,1,14,32,2.29,,0.0,ST_S_17__WP_SL2_160,8,600.02,7.38,
D,16,46,275.99,157.14,0.03,0.52,0.1037,4,0.0,0.0549,0.9367,7948.07,1,36,35,0.97,,0.0,ST_S_23__WP_SL1_640,8,600.02,16.02,
D,20,56,335.99,161.17,0.0,0.0,0.0213,1,0.0,0.0654,0.9205,9584.11,1,8,46,5.75,,0.0,ST_N_02__WP_NL1_080,8,600.02,17.75,
